runId,runtimeVariant,service,workFactor,endpointMode,payloadSize,concurrency,repeat,requests,failures,elapsed,requestsPerSecond,p50,p95,p99,p999,min,max,p50Nanos,p95Nanos,p99Nanos,p999Nanos,minNanos,maxNanos
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,7,1,1,24453,0,5.000278965s,4890.33,192.797µs,287.596µs,370.687µs,678.774µs,54.924µs,3.373489ms,192797,287596,370687,678774,54924,3373489
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,7,1,2,24229,0,5.000425334s,4845.39,190.936µs,295.189µs,442.149µs,1.078344ms,59.559µs,4.889656ms,190936,295189,442149,1078344,59559,4889656
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,7,6,1,104361,0,5.000886791s,20868.50,244.698µs,568.064µs,1.076799ms,2.505934ms,44.721µs,9.005189ms,244698,568064,1076799,2505934,44721,9005189
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,7,6,2,110411,0,5.001369332s,22076.15,238.745µs,507.661µs,918.218µs,1.883987ms,48.45µs,6.426547ms,238745,507661,918218,1883987,48450,6426547
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,7,12,1,105575,0,5.000798348s,21111.63,347.142µs,1.594255ms,4.701704ms,14.896746ms,42.099µs,31.499842ms,347142,1594255,4701704,14896746,42099,31499842
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,7,12,2,104709,0,5.001080078s,20937.28,360.732µs,1.661873ms,4.280762ms,13.194513ms,42.403µs,34.988098ms,360732,1661873,4280762,13194513,42403,34988098
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,7,24,1,238935,0,5.002995818s,47758.38,305.849µs,1.600143ms,2.954752ms,7.123104ms,40.711µs,30.08204ms,305849,1600143,2954752,7123104,40711,30082040
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,7,24,2,250846,0,5.001466265s,50154.49,300.488µs,1.475371ms,2.653391ms,6.425427ms,37.9µs,32.995837ms,300488,1475371,2653391,6425427,37900,32995837
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,7,48,1,275917,0,5.002539806s,55155.38,474.408µs,2.814978ms,4.981616ms,11.916316ms,41.046µs,41.02823ms,474408,2814978,4981616,11916316,41046,41028230
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,7,48,2,219981,0,5.002684088s,43972.59,577.358µs,3.851248ms,6.836334ms,11.890185ms,42.435µs,19.868694ms,577358,3851248,6836334,11890185,42435,19868694
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,7,96,1,276448,0,5.00260413s,55260.82,872.517µs,5.082284ms,11.482055ms,51.562893ms,41.156µs,90.75923ms,872517,5082284,11482055,51562893,41156,90759230
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,7,96,2,304340,0,5.002560924s,60836.84,863.53µs,5.295053ms,8.464133ms,13.989173ms,45.219µs,30.012937ms,863530,5295053,8464133,13989173,45219,30012937
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,7,192,1,284462,0,5.003000084s,56858.28,1.831869ms,11.036629ms,16.706036ms,27.23646ms,44.462µs,42.978402ms,1831869,11036629,16706036,27236460,44462,42978402
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,7,192,2,334012,0,5.00675394s,66712.29,1.579593ms,9.400744ms,15.448002ms,29.241133ms,49.14µs,62.580032ms,1579593,9400744,15448002,29241133,49140,62580032
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,128,1,1,20523,0,5.000290842s,4104.36,215.221µs,390.221µs,785.982µs,2.356806ms,57.429µs,8.503287ms,215221,390221,785982,2356806,57429,8503287
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,128,1,2,23918,0,5.000064579s,4783.54,196.626µs,293.462µs,402.007µs,687.491µs,60.774µs,4.692326ms,196626,293462,402007,687491,60774,4692326
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,128,6,1,97260,0,5.000929444s,19448.38,257.716µs,636.712µs,1.085794ms,2.861398ms,51.512µs,13.692665ms,257716,636712,1085794,2861398,51512,13692665
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,128,6,2,88399,0,5.000488367s,17678.07,281.224µs,717.187µs,1.284305ms,2.906264ms,50.786µs,7.785514ms,281224,717187,1284305,2906264,50786,7785514
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,128,12,1,118684,0,5.001765561s,23728.42,368.05µs,1.30136ms,2.757609ms,6.089572ms,44.435µs,18.073567ms,368050,1301360,2757609,6089572,44435,18073567
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,128,12,2,99097,0,5.001421124s,19813.77,399.676µs,1.838768ms,3.975402ms,7.54587ms,44.835µs,13.611549ms,399676,1838768,3975402,7545870,44835,13611549
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,128,24,1,184915,0,5.001670823s,36970.65,443.272µs,1.936677ms,3.196953ms,5.619665ms,46.324µs,10.579567ms,443272,1936677,3196953,5619665,46324,10579567
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,128,24,2,154317,0,5.00234719s,30848.92,502.134µs,2.301674ms,4.306384ms,9.15416ms,47.454µs,60.06528ms,502134,2301674,4306384,9154160,47454,60065280
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,128,48,1,140463,0,5.002407959s,28079.08,1.019648ms,5.487113ms,8.867049ms,12.829681ms,46.857µs,19.00661ms,1019648,5487113,8867049,12829681,46857,19006610
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,128,48,2,175704,0,5.00205969s,35126.33,822.987µs,4.160614ms,7.211713ms,12.232671ms,46.676µs,31.363729ms,822987,4160614,7211713,12232671,46676,31363729
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,128,96,1,163051,0,5.00575874s,32572.68,1.608377ms,9.447793ms,14.592744ms,32.488268ms,48.452µs,49.626285ms,1608377,9447793,14592744,32488268,48452,49626285
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,128,96,2,231573,0,5.004273851s,46275.05,1.113499ms,6.714538ms,10.561131ms,21.813867ms,46.81µs,49.490435ms,1113499,6714538,10561131,21813867,46810,49490435
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,128,192,1,209844,0,5.006429895s,41914.90,2.375747ms,15.347617ms,22.682671ms,33.316496ms,48.982µs,58.279973ms,2375747,15347617,22682671,33316496,48982,58279973
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,128,192,2,304205,0,5.007492752s,60749.96,1.588244ms,10.851764ms,15.941798ms,22.743984ms,48.584µs,43.297834ms,1588244,10851764,15941798,22743984,48584,43297834
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,2048,1,1,17538,0,5.000237098s,3507.43,259.552µs,463.82µs,708.435µs,1.065053ms,132.205µs,2.015757ms,259552,463820,708435,1065053,132205,2015757
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,2048,1,2,14112,0,5.000597734s,2822.06,305.186µs,669.918µs,1.254717ms,3.080388ms,124.773µs,7.656329ms,305186,669918,1254717,3080388,124773,7656329
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,2048,6,1,29167,0,5.001454696s,5831.70,745.851µs,2.622206ms,6.188276ms,18.293979ms,130.248µs,30.728541ms,745851,2622206,6188276,18293979,130248,30728541
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,2048,6,2,30287,0,5.001084707s,6056.09,711.683µs,2.6294ms,6.066479ms,15.691908ms,108.994µs,34.159855ms,711683,2629400,6066479,15691908,108994,34159855
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,2048,12,1,16168,0,5.00171348s,3232.49,1.320185ms,13.875679ms,29.598265ms,74.501396ms,111.67µs,99.325891ms,1320185,13875679,29598265,74501396,111670,99325891
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,2048,12,2,15323,0,5.014821264s,3055.54,1.160159ms,15.576474ms,36.06314ms,70.643386ms,92.705µs,125.244893ms,1160159,15576474,36063140,70643386,92705,125244893
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,2048,24,1,20401,0,5.043589701s,4044.94,2.71573ms,20.173667ms,35.211238ms,55.592792ms,109.411µs,88.940412ms,2715730,20173667,35211238,55592792,109411,88940412
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,2048,24,2,19586,0,5.014499093s,3905.87,2.617603ms,22.645854ms,39.173234ms,77.75905ms,98.954µs,95.780932ms,2617603,22645854,39173234,77759050,98954,95780932
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,2048,48,1,42290,0,5.006963956s,8446.24,3.106238ms,18.916021ms,31.107488ms,46.572637ms,118.235µs,64.522703ms,3106238,18916021,31107488,46572637,118235,64522703
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,2048,48,2,55002,0,5.007182491s,10984.62,2.728225ms,13.597545ms,21.39117ms,36.407431ms,116.775µs,85.018876ms,2728225,13597545,21391170,36407431,116775,85018876
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,2048,96,1,58454,0,5.031818759s,11616.87,3.600832ms,28.644659ms,54.569121ms,112.092322ms,106.259µs,177.400775ms,3600832,28644659,54569121,112092322,106259,177400775
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,2048,96,2,74429,0,5.006395141s,14866.78,2.914365ms,21.520582ms,32.781829ms,49.110762ms,109.374µs,80.772196ms,2914365,21520582,32781829,49110762,109374,80772196
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,2048,192,1,90963,0,5.012483255s,18147.29,3.17278ms,38.63203ms,62.006785ms,96.35898ms,101.707µs,184.212457ms,3172780,38632030,62006785,96358980,101707,184212457
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,2048,192,2,71609,0,5.012278856s,14286.72,5.525177ms,47.644861ms,73.858939ms,115.063286ms,113.258µs,203.189474ms,5525177,47644861,73858939,115063286,113258,203189474
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,8192,1,1,10486,0,5.000572909s,2096.96,412.643µs,872.696µs,1.152413ms,1.812881ms,260.156µs,4.356959ms,412643,872696,1152413,1812881,260156,4356959
