runId,runtimeVariant,service,workFactor,endpointMode,payloadSize,concurrency,repeats,requestsPerSecondMean,requestsPerSecondMedian,requestsPerSecondMin,requestsPerSecondMax,p50NanosMedian,p95NanosMedian,p99NanosMedian,p999NanosMedian,failuresTotal
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,7,1,2,4867.86,4867.86,4845.39,4890.33,191866,291392,406418,878559,0
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,7,6,2,21472.33,21472.33,20868.50,22076.15,241721,537862,997508,2194960,0
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,7,12,2,21024.46,21024.46,20937.28,21111.63,353937,1628064,4491233,14045629,0
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,7,24,2,48956.43,48956.43,47758.38,50154.49,303168,1537757,2804071,6774265,0
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,7,48,2,49563.99,49563.99,43972.59,55155.38,525883,3333113,5908975,11903250,0
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,7,96,2,58048.83,58048.83,55260.82,60836.84,868023,5188668,9973094,32776033,0
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,7,192,2,61785.28,61785.28,56858.28,66712.29,1705731,10218686,16077019,28238796,0
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,128,1,2,4443.95,4443.95,4104.36,4783.54,205923,341841,593994,1522148,0
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,128,6,2,18563.22,18563.22,17678.07,19448.38,269470,676949,1185049,2883831,0
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,128,12,2,21771.10,21771.10,19813.77,23728.42,383863,1570064,3366505,6817721,0
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,128,24,2,33909.79,33909.79,30848.92,36970.65,472703,2119175,3751668,7386912,0
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,128,48,2,31602.71,31602.71,28079.08,35126.33,921317,4823863,8039381,12531176,0
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,128,96,2,39423.87,39423.87,32572.68,46275.05,1360938,8081165,12576937,27151067,0
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,128,192,2,51332.43,51332.43,41914.90,60749.96,1981995,13099690,19312234,28030240,0
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,2048,1,2,3164.74,3164.74,2822.06,3507.43,282369,566869,981576,2072720,0
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,2048,6,2,5943.90,5943.90,5831.70,6056.09,728767,2625803,6127377,16992943,0
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,2048,12,2,3144.01,3144.01,3055.54,3232.49,1240172,14726076,32830702,72572391,0
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,2048,24,2,3975.40,3975.40,3905.87,4044.94,2666666,21409760,37192236,66675921,0
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,2048,48,2,9715.43,9715.43,8446.24,10984.62,2917231,16256783,26249329,41490034,0
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,2048,96,2,13241.83,13241.83,11616.87,14866.78,3257598,25082620,43675475,80601542,0
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,2048,192,2,16217.01,16217.01,14286.72,18147.29,4348978,43138445,67932862,105711133,0
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,8192,1,2,1881.05,1881.05,1665.13,2096.96,463254,987181,1455585,4635217,0
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,8192,6,2,3798.70,3798.70,3716.96,3880.44,1290143,3521204,5953497,11990323,0
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,8192,12,2,3790.17,3790.17,3768.37,3811.97,2455606,8066899,12418485,21220651,0
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,8192,24,2,4431.24,4431.24,4025.37,4837.10,4325717,14252085,20996726,33658117,0
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,8192,48,2,5042.88,5042.88,4696.30,5389.46,7286414,27729420,41541828,62930941,0
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,8192,96,2,6050.80,6050.80,4620.13,7481.47,12669082,52618054,80649450,122821154,0
sequential_generated_serious_20260528_1010,go-stdlib,go,10,generated,8192,192,2,6922.48,6922.48,5449.75,8395.20,16099358,97853463,152067228,227080623,0
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,7,1,2,3978.52,3978.52,3728.88,4228.16,228896,348214,590488,2464103,0
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,7,6,2,16544.71,16544.71,15193.07,17896.34,291673,767087,1618695,4576098,0
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,7,12,2,20901.05,20901.05,17604.69,24197.41,435688,1558210,3156998,6846654,0
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,7,24,2,43813.35,43813.35,36008.53,51618.16,424751,1529297,2866960,6367851,0
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,7,48,2,54187.83,54187.83,43359.27,65016.40,604206,2989410,5274876,8870769,0
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,7,96,2,72504.43,72504.43,61510.37,83498.49,903311,4343791,7191813,12521369,0
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,7,192,2,97190.01,97190.01,93987.99,100392.02,1385071,5922445,9046272,14049153,0
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,128,1,2,4250.15,4250.15,3816.06,4684.25,212049,367525,693783,1761580,0
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,128,6,2,20320.47,20320.47,19631.76,21009.19,257478,517919,950430,2466915,0
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,128,12,2,28461.30,28461.30,27488.27,29434.33,339425,976807,1981647,4515288,0
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,128,24,2,46137.68,46137.68,43476.25,48799.12,406114,1391911,2524978,4943327,0
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,128,48,2,70080.90,70080.90,67240.19,72921.60,510393,2020886,3240373,5894665,0
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,128,96,2,74156.25,74156.25,64805.14,83507.36,909206,4120050,6683173,11179868,0
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,128,192,2,76415.12,76415.12,76381.38,76448.85,1733947,7646963,12052292,18166684,0
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,2048,1,2,3577.10,3577.10,3572.32,3581.88,263250,378195,469353,1073737,0
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,2048,6,2,12773.83,12773.83,11467.87,14079.78,387509,925444,2078590,6383094,0
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,2048,12,2,21796.06,21796.06,21578.24,22013.88,486284,1056229,1833467,3590309,0
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,2048,24,2,25519.14,25519.14,25383.87,25654.41,774729,2241464,3904272,7056000,0
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,2048,48,2,31452.15,31452.15,27861.85,35042.44,1277267,3812249,5891111,9574967,0
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,2048,96,2,38373.56,38373.56,38363.34,38383.78,2175771,5866356,8633285,12692585,0
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,2048,192,2,36964.76,36964.76,34493.75,39435.76,4602228,12012092,17373014,27302111,0
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,8192,1,2,2035.54,2035.54,1841.93,2229.15,446893,727120,1182261,2608580,0
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,8192,6,2,8214.24,8214.24,7683.43,8745.06,639974,1231304,2289989,5547961,0
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,8192,12,2,9664.95,9664.95,9612.40,9717.50,1049302,2535639,4674225,10270808,0
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,8192,24,2,11144.51,11144.51,11051.01,11238.00,1887215,4477131,6980592,10890892,0
